Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recurso-detalhe/161,7,0,7,5.557661142834799,1.5506849999837868,7.889323999961562,27.0,0.027260889948021016,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/162,3,0,3,4.643304666615222,1.880023000012443,9.463678999964031,27.0,0.011683238549151865,0.0,3,3,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/163,7,0,2,4.795352714316842,1.7318509999313392,10.451664000129313,27.0,0.027260889948021016,0.0,2,6,9,9,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/165,1,0,2.1363690000271163,2.1363690000271163,2.1363690000271163,2.1363690000271163,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/166,3,0,2,3.6378336667439726,1.865692000137642,6.562141999893356,27.0,0.011683238549151865,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/167,3,0,6,10.571495999935602,2.032999999983076,24.088835999918956,27.0,0.011683238549151865,0.0,6,6,24,24,24,24,24,24,24,24,24
GET,/api/recurso-detalhe/168,3,0,6,13.986850666621345,1.8663309999737976,34.47898299987173,27.0,0.011683238549151865,0.0,6,6,34,34,34,34,34,34,34,34,34
GET,/api/recurso-detalhe/169,3,0,8,8.559908999889862,7.269677999829582,10.730334999834668,27.0,0.011683238549151865,0.0,8,8,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/17,2,0,7,6.8877650001013535,6.630688000086593,7.144842000116114,25.0,0.007788825699434576,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/170,2,0,2.057703999980731,5.332121999913397,2.057703999980731,8.606539999846063,27.0,0.007788825699434576,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/171,2,0,2,5.454256000007263,1.8371179999121523,9.071394000102373,27.0,0.007788825699434576,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/172,2,0,2,4.669319999948129,1.7065659999389027,7.632073999957356,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/173,1,0,12.37263999996685,12.37263999996685,12.37263999996685,12.37263999996685,27.0,0.003894412849717288,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/174,2,0,2.213830000073358,2.268222000111564,2.213830000073358,2.3226140001497697,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/175,4,0,2,2.3195502499788745,1.7468559999542776,3.9174329999696056,27.0,0.015577651398869153,0.0,2,2,4,4,4,4,4,4,4,4,4
GET,/api/recurso-detalhe/176,2,0,2,4.741686999977901,1.9236709999859158,7.559702999969886,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/177,1,0,7.902066000042396,7.902066000042396,7.902066000042396,7.902066000042396,27.0,0.003894412849717288,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/178,2,0,7,12.913687499917614,6.996587999992698,18.83078699984253,27.0,0.007788825699434576,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/recurso-detalhe/179,1,0,12.65292099992621,12.65292099992621,12.65292099992621,12.65292099992621,27.0,0.003894412849717288,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/18,4,0,2,5.1028054999733286,1.97063799987518,10.65338199987309,25.0,0.015577651398869153,0.0,6,6,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/180,1,0,2.9240740000204823,2.9240740000204823,2.9240740000204823,2.9240740000204823,27.0,0.003894412849717288,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/181,3,0,4,4.943469000030139,3.5073399999419053,7.415231000095446,27.0,0.011683238549151865,0.0,4,4,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/182,2,0,2,8.347642499984431,1.5219770000385324,15.17330799993033,27.0,0.007788825699434576,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/recurso-detalhe/183,2,0,2.229250000027605,2.747948499973063,2.229250000027605,3.266646999918521,27.0,0.007788825699434576,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/186,5,0,2,5.8772312000201055,1.7147200001090823,15.268166999931054,27.0,0.01947206424858644,0.0,2,8,8,15,15,15,15,15,15,15,15
GET,/api/recurso-detalhe/187,4,0,1.928194999891275,1.8484617499439082,1.7013490000863385,1.928194999891275,27.0,0.015577651398869153,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/189,3,0,7,5.239681999986108,1.7541680001613713,7.182821000014883,27.0,0.011683238549151865,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/19,1,0,6.374143999892112,6.374143999892112,6.374143999892112,6.374143999892112,25.0,0.003894412849717288,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/190,3,0,7,6.206518333253068,2.0278429999507352,10.040450999895256,27.0,0.011683238549151865,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/191,4,0,3,3.797395249989677,1.8418100000872073,7.876054000007571,27.0,0.015577651398869153,0.0,3,3,8,8,8,8,8,8,8,8,8
